Name,Index Members,Current Market Cap,Cash and Marketable Securities,#N/A No results found,Short and Long Term Debt,Revenue,Gross Profit,EBITDA,Net Income Available to Common,Cash From Operations,Capital Expenditures,Free Cash Flow,Operating Income or Losses,Total Current Assets,Total Assets,Total Current Liabilities,Total Liabilities,Total Equity,Cash from Investing Activities,Cash from Financing Activities,Estimate Comparable Sales,#N/A No results found,Cash and Cash Equivalents,Cost of Revenue,Total Operating Expenses,Comparable EBIT,#N/A No results found,Depreciation & Amortization,Comparable EBITDA,Interest Expense,Interest Income,Other Non-Operating (Income) Loss,Comparable PTP Excluding Stock Based Compensation,Income Tax Expense (Benefit),Estimate Comparable Net Income GAAP,#N/A No results found,#N/A No results found,EBIT,Pre-Tax Income,Estimate Comparable Net Income Adjusted,Preferred Equity and Hybrid Capital,Minority/Non Controlling Interest,Total Capital
Accenture PLC,ACN UN,190403.5803,7893.806,640.991,3325.756,61594.305,19701.539,12208.399,6877.169,9541.129,-717.998,8823.131,9367.181,21610.871,47263.39,17523.496,24516.302,22747.088,-4260.629,-5558.841,61594.305,8400,7889.833,41892.766,52227.124,9367.181,171.014,2088.216,11455.397,47.32,45.133,168.827,9196.167,2207.207,6877.169,-4260.629,-5311.026,9367.181,9196.167,6877.169,0,640.991,26072.844
Adobe Inc,ADBE UW,159535.0857,5764,0,4641,17191,15087,6940,4813,7579,-450,7129,6094,8489,26744,7438,12371,14373,-2240,-6092,17191,7129,3870,2104,8993,7779,135,846,8625,112,#VALUE!,23,7218,1146,4813,-2240,-5992,6094,5959,9289,0,0,19014
Analog Devices Inc,ADI UW,85795.99764,1470.572,0,6939.532,12013.953,7532.474,5636.859,2748.561,4475.402,-699.308,3776.094,3278.7,4937.992,50302.35,2442.655,13837.027,36465.323,-657.368,-4325.426,12014,3776.094,1470.572,4481.479,4253.774,5939,179.951,2297.499,8236.499,200.408,6.906,-13.551,5750.065,350.188,2748.561,-657.368,-4290.72,3278.7,3098.749,2748.561,0,0,43404.855
Archer-Daniels-Midland Co,ADM UN,50533.25437,1099,322,9742,98707,7458,5132,4103,4090,-1296,2794,4101,34569,58304,22936,33985,24319,-2330,-1928,98707,2794,1099,91249,#VALUE!,5199,-930,1031,6553,339,104,-264,4974,893,4103,-2330,-1928,4101,5031,4202,0,322,34061
Automatic Data Processing Inc,ADP UW,112156.9819,1207.7,0,3592.5,16881.6,7248.7,4600,3027.3,3695.7,-183.9,3511.8,3934.4,37968.8,46364.7,39166.2,43788.2,2576.5,-7355.6,-13956.4,16881.6,3511.8,1207.7,9632.9,13061.8,3974,21.1,521.1,4877.1,114.6,60.9,-32.6,3913.1,886,3027.3,-7355.6,-13834,3934.4,3913.3,3027.7,0,0,6169
Autodesk Inc,ADSK UW,43657.49246,1841,0,3035,4898.6,4429.4,1070.6,619.1,1882.8,-38.5,1844.3,854.4,2788,8635,3811,7729,906,-379.6,-1586.7,4898.6,1176.3,1665,469.2,3575,1727.6,78.3,147.2,1851.8,#VALUE!,#VALUE!,75,1466.3,157,619.1,-379.6,-1538.9,854.4,776.1,874.5556962,0,0,3941
Ameren Corp,AEE UN,22775.36922,7,129,14953,7456,5138,2835,1036,2101,-3884,-1783,1436,2518,37657,3175,27327,10330,-3340,1308,7456,-1783,7,2318,6020,1436,218,1399,2691,449,24,-176,1218,177,1037,-3340,1307,1436,1218,1036,0,129,25283
American Electric Power Co Inc,AEP UW,48899.26948,779.5,234.1,38384.1,18819.8,12302.6,7120,2461.8,5600.1,-6454.3,-854.2,3606.3,9320,91249.4,11836.4,66663.8,24585.6,-7350.2,900.7,18786.9,-854.2,577.3,6517.2,15213.5,3606.8,1001.5,3513.7,6023.6,1305.3,#VALUE!,-172.8,2799.4,20.7,2461.8,-7350.2,900.7,3606.3,2604.8,2561.3,0,234.1,62969.7
AES Corp/The,AES UN,19130.08123,2224,4091,22205,12327,2544,3420,-275,2172,-3293,-1121,2359,7628,37775,5902,31113,6662,-5148,3036,12327,-1121,1553,9783,#VALUE!,715,3167,1061,1776,1055,356,2406,2844,-22,-849,-5148,3139,2359,-808,1520,2039,2052,28867
Aflac Inc,AFL UN,44955.31479,4710,0,7683,20925,#VALUE!,#VALUE!,5055,3716,0,3716,5540,#VALUE!,128100,#VALUE!,103996,24152,-2054,-3160,20925,3716,4710,#VALUE!,15612,#VALUE!,#VALUE!,#VALUE!,#VALUE!,227,#VALUE!,0,4506,258,5055,-2054,-3098,5540,5313,3441,0,0,31835
American International Group I,AIG UN,46599.70713,2294,2478,30432,58938,#VALUE!,#VALUE!,13722,4533,0,4533,20159,#VALUE!,522932,#VALUE!,481931,41001,-2621,-2687,58938,4533,2294,#VALUE!,39887,9526,#VALUE!,4961,#VALUE!,1108,#VALUE!,0,5428,3855,8501,-2621,-2546,20159,19051,3901,500,1978,71433
Assurant Inc,AIZ UN,6775.102745,1429.8,0,2146.7,10115.1,#VALUE!,#VALUE!,328.6,574.3,-190,384.3,518.5,#VALUE!,33245.7,#VALUE!,29164.2,4098.9,-14,-1158.4,10115.1,384.3,1429.8,#VALUE!,9704.1,#VALUE!,#VALUE!,185.8,#VALUE!,107.5,#VALUE!,0,721.6,79.3,331.7,-159.2,-1099.6,518.5,411,588.1,0,0,6245.6
Arthur J Gallagher & Co,AJG UN,42389.38264,553.7,55.3,6321.1,8495,8242.9,2164.5,1088.1,2487.9,-165.7,2322.2,1572.4,23796.6,38667.8,22456.6,30038.7,8629.1,-3272.1,48.7,8495,2322.2,553.7,252.1,7177,#VALUE!,254.4,592.1,#VALUE!,254.4,0,0,#VALUE!,216.6,#VALUE!,-3272.1,412.8,1572.4,1318,1594.4,0,55.3,14950.2
Akamai Technologies Inc,AKAM UW,14758.76162,1352.674,0,3153.33,3594.233,2242.979,1290.767,507.388,1320.078,-457.209,862.869,704.884,1695.573,8107.369,753.011,3874.185,4233.184,-1371.607,-754.827,3594.233,862.869,457.816,1351.254,2889.349,1058.371,34.301,585.883,1551.874,26.729,6.758,14.33,857.674,154.13,590.368,-1371.607,-725.442,704.884,670.583,884.314,0,0,7386.514
Albemarle Corp,ALB UN,33378.00297,1382.803,231.991,3505.929,5593.33,2309.862,1931.322,1553.547,809.273,-1116.862,-307.589,1605.766,4296.971,13828.502,2487.951,6863.875,6964.627,-1121.072,1099.553,5593.302,-307.589,1382.803,3283.468,#VALUE!,1901.013,43.473,283.515,2460.828,104.24,0,359.828,1565.703,381.51,1553.547,-1121.072,1219.9,1605.766,1562.293,1687.881,0,231.991,10470.556
Align Technology Inc,ALGN UW,15564.66663,1141.021,0,120.867,3864.219,2760.637,872.51,510.759,696.874,-347.792,349.082,750.826,2500.58,5912.802,1809.403,2218.18,3694.622,-465.217,-425.369,3864.219,349.082,1044.523,1103.582,2009.811,892.325,47.078,121.684,#VALUE!,#VALUE!,3.283,50.361,846.127,192.989,510.759,-465.217,-403.071,750.826,703.748,656.603,0,0,3815.489
Alaska Air Group Inc,ALK UN,5932.205414,3150,0,3955,9066,#VALUE!,580,54,1538,-1049,489,86,3810,14531,4709,10705,3826,-953,-385,9066,489,688,#VALUE!,8980,633,13,410,1043,101,41,-47,620,19,54,-953,-385,86,73,469,0,0,7781
Allstate Corp/The,ALL UN,34700.01969,786,1913,7967,50776,#VALUE!,#VALUE!,-316,5022,-411,4611,290,#VALUE!,97676,#VALUE!,80115,17561,-1056,-4022,50776,4611,786,#VALUE!,50821,#VALUE!,#VALUE!,914,#VALUE!,335,#VALUE!,0,1385,-96,-290,-1060,-4022,290,-45,893,2025,-112,25528
Allegion plc,ALLE UN,10085.4638,282.2,2.3,2329.6,3119.6,1258.2,679.5,435.4,399.3,-58.2,341.1,542.1,1235.9,3943.3,689.2,3149.7,793.6,-982.6,361.6,3119.6,341.1,282.2,1861.4,#VALUE!,585.3,43.3,90.7,667.5,65.4,0.4,-23.6,528.4,63.2,435.4,-982.6,386.1,542.1,498.8,460.8,0,2.3,3123.2
Applied Materials Inc,AMAT UW,91949.86385,2581,0,5457,25785,11993,8232,6525,5399,-787,4612,7788,15925,26726,7379,14532,12194,-1357,-7043,25785,4612,1995,13792,4205,7861,189,444,8305,228,39,0,7622,1074,6525,-1357,-7043,7788,7599,6756,0,0,17651
Amcor PLC,AMCR UN,18635.08025,562,58,7081,14836,2838,#VALUE!,835,#VALUE!,#VALUE!,#VALUE!,#VALUE!,5853,17426,5103,13285,4194,#VALUE!,#VALUE!,14836,#VALUE!,562,11998,#VALUE!,1712,#VALUE!,599,2124,#VALUE!,#VALUE!,#VALUE!,1141,295,835,-622,#VALUE!,#VALUE!,1141,1224,0,58,11275
Advanced Micro Devices Inc,AMD UW,122071.4835,5660,0,2890,22828,10626,5692,2273,3820,-412,3408,2620,14420,67811,6691,13269,54542,932,-3794,#VALUE!,3408,3398,12202,#VALUE!,#VALUE!,97,3072,#VALUE!,77,0,20,#VALUE!,261,#VALUE!,932,-3794,2620,2523,#VALUE!,0,0,57432
AMETEK Inc,AME UN,33274.62544,309.944,0,2524.207,6028.608,2104.61,1844.067,1134.142,1046.255,-124.271,921.984,1463.753,2432.568,12038.932,1591.383,4906.26,7132.672,-416.196,-678.791,6028.608,922,309.944,3923.998,4564.855,1463.753,74.273,308.586,1675.312,80.681,#VALUE!,-5.908,1389.48,255.338,1134.142,-416.196,-633.053,1463.753,1389.48,1134.142,0,0,9656.879
Amgen Inc,AMGN UW,152358.211,11478,0,38704,26330,19953,12998,6835,9880,-883,8997,9640,24062,63700,14331,60047,3653,-2801,-9546,26330,5339,9502,6377,16690,12749,1911,3358,#VALUE!,1326,0,585,11341,894,6835,-2801,-9546,9640,7729,#VALUE!,0,0,42357
Ameriprise Financial Inc,AMP UN,35097.45614,7993,0,3023,14436,#VALUE!,4231,2766,4741,-160,4581,3429,#VALUE!,153354,#VALUE!,150097,3257,-12248,7568,14414,4581,7993,#VALUE!,10985,#VALUE!,#VALUE!,14,#VALUE!,#VALUE!,0,0,3365,663,2766,-12248,7677,4217,3429,2674,0,0,6280
American Tower Corp,AMT UN,102633.4397,2121.8,6036.8,46661.8,10451.3,#VALUE!,7190.8,2903,1547.8,-1675.4,-127.6,2786.9,#VALUE!,66512.8,#VALUE!,54194.2,12318.6,-11673.9,7034.1,10451.3,-4858.3,2121.8,#VALUE!,#VALUE!,2778.7,-220.9,3184.3,6452.7,1057.1,#VALUE!,-1278,2569,153.3,2903,-11673.9,7181.2,2786.9,3007.8,2903.3,0,6036.8,58980.4
Amazon.com Inc,AMZN UW,963546.2058,58662,0,144580,502191,216165,60091,11323,39665,-65988,-26323,12971,131463,428362,140363,290873,137489,-39360,4696,502191,-111690,34947,286026,489220,12971,3011,38578,69769,2155,662,1298,9660,-1378,11079,-39360,6532,12971,9960,11079,0,0,282069
Arista Networks Inc,ANET UN,41505.92899,2980.071,0,47.067,3930.217,2429.804,1381.614,1164.652,677.576,-43.465,634.111,1323.975,5031.678,6162.01,1254.912,1776.792,4385.218,234.953,-827.234,3930.217,634.111,716.253,1500.413,1105.829,1577.382,-39.264,57.639,1648.055,#VALUE!,#VALUE!,-30.747,1430.946,198.587,1164.652,234.953,-820.841,1323.975,1363.239,1265.524,0,0,4432.285
ANSYS Inc,ANSS UW,22295.50564,632.703,0,883.101,2027.105,1768.914,711.976,468.934,558.684,-20.112,538.572,571.405,1449.876,6161.64,609.69,1617.955,4543.685,-671.779,-335.234,2039.559,538.572,632.509,258.191,1197.509,845.702,17.528,112.606,#VALUE!,16.479,2.675,3.724,621.256,84.943,468.988,-671.779,-296.965,571.405,553.877,676.047,0,0,5426.786
Aon PLC,AON UN,63605.20727,943,113,11674,12429,#VALUE!,3909,2795,3108,-161,2947,3631,19176,31223,18688,31893,-670,-44,-2167,12429,2947,692,#VALUE!,8798,3811,148,278,3947,381,17,-251,3539,630,2795,-44,-883,3631,3483,2861,0,113,11004
A O Smith Corp,AOS UN,9255.141705,417.1,0,320.7,3813.3,1341.6,746.6,495.4,479,-80.7,398.3,655.4,1569.6,3231.9,900.9,1484.1,1747.8,-156.3,-450,3813.3,398.3,358.8,2471.7,#VALUE!,659.5,7,76.4,725.4,7.4,#VALUE!,-0.4,648.4,153,495.4,-156.3,-412.6,655.4,648.4,499.9,0,0,2068.5
APA Corp,APA UW,15148.02904,268,1590,7763,10857,#VALUE!,#VALUE!,3613,#VALUE!,#VALUE!,#VALUE!,#VALUE!,2380,13303,2117,13308,3226,#VALUE!,#VALUE!,10885,1908,268,#VALUE!,6569,#VALUE!,#VALUE!,1211,6592,#VALUE!,#VALUE!,#VALUE!,3931,1558,3716,-1185,-3539,#VALUE!,5586,2512,0,1590,10989
Air Products and Chemicals Inc,APD UN,70963.83218,3301.7,558.4,8326.9,12698.6,3360.1,3782.3,2256.1,3230.2,-2926.5,303.7,2338.8,6282.9,27192.6,3465.8,13490.2,13702.4,-3857.2,-1130.9,12698.6,303.7,2711,9338.5,#VALUE!,2412.5,-415.9,1338.2,4247,128,0,-62.4,2826.8,500.8,2315.6,-3857.2,-1000.6,2338.8,2754.7,2243.5,0,558.4,22029.3
Amphenol Corp,APH UN,48065.784,1252,78,4753.2,12410.7,3932,2918.3,1859.8,1939.9,-376.4,1563.5,2512.6,6326.9,15097.9,2654.9,8449,6648.9,-723.3,-1407.2,12410.7,1562.2,1189,8478.7,#VALUE!,2539.6,113.7,405.7,2945.3,120.2,0,-6.5,2406.4,535.4,1859.8,-723.3,-1285.4,2512.6,2398.9,1820.8,0,78,11402.1
Aptiv PLC,APTV UN,28113.7289,4850,186,6773,16983,2413,1847,313,999,-847,152,1083,10983,19971,4129,11590,8381,-1172,2258,16949,152,4850,14570,15900,1335,368,764,2403,193,33,136,737,96,360,-1172,2313,1083,715,766,0,186,15154
Alexandria Real Estate Equitie,ARE UN,25174.26958,533.824,3639.044,11027.633,2495.604,#VALUE!,1575.938,531.866,1142.718,-7047.376,-5904.658,549.443,#VALUE!,34368.614,#VALUE!,13113.235,21255.379,-5394.549,4749.945,2495.604,-5904.658,533.824,#VALUE!,#VALUE!,809.523,-125.786,976.92,1782.967,111.543,0,-233.838,#VALUE!,0,538.057,#VALUE!,4752.623,549.443,675.229,486.21716,0,3639.044,32283.012
Atmos Energy Corp,ATO UN,16448.73294,51.554,0,8421.866,4201.662,2519.006,1500.031,774.398,977.584,-2444.42,-1466.836,920.982,3047.693,22192.989,3602.6,12773.898,9419.091,-2429.958,1387.205,4201.662,-1466.836,51.554,1682.656,3280.68,920.982,69.074,535.655,1456.637,102.811,#VALUE!,-33.737,851.908,77.51,774.398,-2429.958,1387.205,920.982,851.908,774.398,0,0,17840.957
Activision Blizzard Inc,ATVI UW,59260.39011,10688,0,3610,7357,5234,2299,1675,1758,-88,1670,1984,13110,25620,2278,6812,18808,-3151,-574,7393,1670,7743,2123,5373,2724,60,315,2937,#VALUE!,69,48,2517,249,1674,-3151,-461,1984,1924,2396,0,0,22418
AvalonBay Communities Inc,AVB UN,24142.08689,200.999,3.406,8183.01,2524.971,#VALUE!,1599.058,1230.691,1396.686,-1865.536,-468.85,738.167,#VALUE!,20164.77,#VALUE!,8951.327,11213.443,-656.789,-663.803,2354.035,-468.85,200.999,#VALUE!,#VALUE!,#VALUE!,-504.667,857.061,1565.845,228.324,0,-680.791,1028.972,12.262,1230.691,#VALUE!,-663.803,738.167,1242.834,1016.793,0,3.406,19396.453
Broadcom Inc,AVGO UW,219263.1161,9977,3737,39495,31680,20807,18089,9826,15694,-390,15304,12820,15561,71326,6702,50423,20903,-489,-16333,31680,15304,9977,10873,7987,19178,1837,5269,19854,1765,#VALUE!,72,14556,858,#VALUE!,-489,-16333,12820,10983,#VALUE!,3737,0,60398
Avery Dennison Corp,AVY UN,15673.98188,128.2,0,3132.8,9196.6,2489.1,1440.9,816.9,899.2,-307.6,591.6,1151.1,2961.8,8042.3,2939.3,6035,2007.3,-362.2,-616,9196.6,581.3,128.2,6707.5,#VALUE!,1138.3,77,289.8,1428.1,81.6,0,-4.6,1064.9,256.8,816.9,-362.2,-606.3,1151.1,1074.1,796.1,0,0,5140.1
American Water Works Co Inc,AWK UN,28037.85762,77,-27,11923,3812,#VALUE!,1877,1318,1176,-2280,-1104,1232,1017,27126,2130,19368,7758,-1545,373,3812,-1104,77,#VALUE!,2580,1232,-492,645,1877,420,43,-869,1724,406,1318,-1545,373,1232,1724,1318,0,0,19681
American Express Co,AXP UN,117218.3894,31182,0,43908,52679,#VALUE!,13495,7540,17655,-1813,15842,10020,#VALUE!,214915,#VALUE!,190975,23940,-34237,19848,50831,15842,31182,#VALUE!,#VALUE!,#VALUE!,#VALUE!,1627,#VALUE!,#VALUE!,11080,0,10020,2359,7563,-34237,19298,11868,10020,7621,0,0,67848
AutoZone Inc,AZO UN,48691.72305,485.094,0,9513.777,16252.23,8472.65,4113.952,2429.604,3211.135,-672.391,2538.744,3270.729,6627.984,15275.043,8588.393,18813.956,-3538.913,-648.099,-3469.991,16252.23,2538.744,264.38,7779.58,#VALUE!,3270.729,191.638,442.223,3712.952,197.686,6.048,0,3079.091,649.487,2429.604,-648.099,-3470.497,3270.729,3079.091,2429.604,0,0,5974.864
Boeing Co/The,BA UN,108933.8071,14257,64,57219,61421,-868,-5354,-8444,771,-1118,-347,-7365,109251,137558,89618,155193,-17635,8456,-5490,61421,-347,13494,62289,#VALUE!,-7365,1708,2011,-5637,2562,0,-854,-9073,-519,-8444,8456,-5378,-7365,-9073,-10247.59,0,64,39584
Bank of America Corp,BAC UN,289409.2491,487672,29134,590561,103331,#VALUE!,#VALUE!,25884,7326,0,7326,30890,#VALUE!,3072953,#VALUE!,2803429,269524,-75816,-6388,92784,7326,27802,#VALUE!,#VALUE!,#VALUE!,#VALUE!,1971,#VALUE!,#VALUE!,39659,0,30890,3481,25884,-75816,1386,#VALUE!,30890,25884,29134,0,860085
Ball Corp,BALL UN,17625.12422,473,70,9295,15475,2758,2101,961,660,-1784,-1124,1406,5812,20053,6189,16504,3549,-987,-635,15475,-1124,473,12717,14069,1575,299,695,2195,285,0,-6,1042,149,807,-987,-598,1406,1107,1070,0,70,12844
Baxter International Inc,BAX UN,26809.14212,1601,44,16886,14740,5340,-599,-2376,1465,-714,751,-1913,7810,27965,3708,22386,5579,-10942,7820,14740,751,1601,9400,#VALUE!,2634,381,1314,#VALUE!,368,16,33,2342,70,-2373,-10942,7957,-1913,-2294,1857,0,44,22465
Bath & Body Works Inc,BBWI UN,10066.23201,295,1,6074,7699.403,3453.428,1818.208,960.866,1112,-281,831,1603.208,1948,5133,1452,7741,-2608,-283,-1975,7699.277,831,295,4245.975,#VALUE!,1612.233,343.434,215,#VALUE!,347.887,#VALUE!,-4.453,1259.392,301.214,958.502,-283,-1974,1603.208,1259.774,965.626,0,1,3466
Best Buy Co Inc,BBY UN,19590.88207,932,0,4012,47928,10285,2905,1550,2083,-885,1198,2001,9922,17021,10170,14028,5684,-1401,-3027,47928,1198,932,37643,#VALUE!,2160,24,904,2816,29,#VALUE!,-5,1989,424,1550,-1401,-3008,2001,1977,1550,0,0,9696
Becton Dickinson and Co,BDX UN,71410.69984,1014,2475,16567,18870,8477,4649,1689,2634,-973,1661,2282,8141,52934,7811,27652,25282,-3231,-636,18870,1661,1006,10393,16588,2282,499,2229,4511,398,16,89,1783,148,1779,-3231,-591,2282,1783,1689,2475,0,41849
Franklin Resources Inc,BEN UN,13645.44285,4134.9,2350.1,9362.5,8275.3,#VALUE!,2317.7,1237.8,1956.7,-90.3,1866.4,1773.9,#VALUE!,28060.6,#VALUE!,14235.9,13824.7,-3329.2,1507.8,8275.3,1866.4,4134.9,#VALUE!,6501.4,2323.5,#VALUE!,442.6,#VALUE!,98.2,0,44.5,2179,396.2,1291.9,-3329.2,1585,1773.9,1729.4,1855.6,0,2350.1,23187.2
Brown-Forman Corp,BF/B UN,35726.97018,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Biogen Inc,BIIB UW,43083.78041,5771.4,-8.7,6634,10363.2,7995.7,4516.4,2864.7,2397.6,-205.5,2192.1,3353.8,9765.8,24854.2,3926.4,12087.4,12766.8,1605,-1868.8,10358.2,2192.1,3675.6,2367.5,6524.8,3603.8,-39.2,1162.6,#VALUE!,258.1,42.2,-238.4,3756.9,1021.7,2865.4,1605,-1730.1,3353.8,3393,2130.2,0,-8.7,19400.8
Bio-Rad Laboratories Inc,BIO UN,12349.2896,1850.123,0,1389.574,2804.73,1574.334,647.718,-6034.688,261.951,-110.464,151.487,463.418,3140.155,12058.462,570.677,3604.857,8453.605,-1692.762,1084.535,2804.73,151.487,517.943,1230.396,#VALUE!,502.159,8304.538,131,697.7904,26.795,#VALUE!,8272.399,531.864,-1806.432,-6034.688,-1692.762,1064.83,463.418,-7841.12,425.51,0,0,9843.179
Bank of New York Mellon Corp/T,BK UN,36619.12334,149507,4997,66810,17999,#VALUE!,#VALUE!,2675,15273,-1363,13910,3708,#VALUE!,427953,#VALUE!,388057,39896,14681,-31307,16445,13910,112134,#VALUE!,#VALUE!,#VALUE!,#VALUE!,1716,#VALUE!,#VALUE!,2468,0,4488,822,2675,14681,-31631,#VALUE!,3708,3452,4838,159,106706
Booking Holdings Inc,BKNG UW,81011.63684,11787,0,9470,16022,#VALUE!,5030,2441,4660,-394,4266,4605,12410,22063,8543,18393,3670,-1811,-5466,16022,4267,9021,#VALUE!,11417,#VALUE!,1318,425,4994,321,92,1158,#VALUE!,846,2441,-1811,-5381,4605,3287,3695,0,0,13140
Baker Hughes Co,BKR UW,29845.59642,2851,-1554,6655,20736,4269,2240,-491,1764,-888,876,1097,14335,33165,9465,18798,14367,-831,-2008,20770,1103,2851,16467,19639,1798,732,1079,2878,#VALUE!,#VALUE!,450,1416,795,-490,-831,-1855,1097,365,747,0,223,21022
BlackRock Inc,BLK UN,107681.919,6797,955,8364,18642,#VALUE!,7248,5562,4900,-525,4375,6830,#VALUE!,115430,#VALUE!,77313,38117,-1072,-4270,18642,4375,6797,#VALUE!,11645,7131,#VALUE!,418,#VALUE!,208,0,82,6748,1429,5562,-1072,-3908,6830,6748,5646,0,955,46481
Bristol-Myers Squibb Co,BMY UN,172452.867,9027,63,40110,46738,36838,19232,6677,13817,-1092,12725,8898,26796,98196,18930,65462,32734,-1874,-17865,46738,12725,7734,9900,38517,20630,1186,10334,19987,1261,0,-1466,19987,1020,6677,-1874,-17683,8898,7712,16731,0,63,72844
